41677223,,Grouping regular expression,"Here is my questions:I have a very long string with so many values bounded by the different tags. Those values including chinese, english wording and digits. I wanna to separate by specify pattern. The following is an example:(I want to find a pattern xxxxxx where xxxx is chinese, english, digits or any notation but not include """" as those two symbol is for identify the tags)However, I found some strange for these pattern. The Pattern seems didn't recgonize the first two tag() but the second one--CODE--The output is as same as my String a ","[""String a = \""<f\\\""number\\\"">4  <f\\\""number\\\""><f$n0>14   <h85><f$n0>4    <f$n0>2 <f$n0>2 7   -<f\\\""Times-Roman\\\"">7<f\\\""number\\\"">\"";Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}*\\\\p{sc=Han}*[a-z]*[A-Z]*[0-9]*^<>]*<f\\\""number\\\"">\"");Matcher m = p.matcher(a);while(m.find()){    System.out.println(m.group());}""]",<java><regex>,41677425,The character class [\\P{sc=Han}*\\p{sc=Han}*[a-z]*[A-Z]*[0-9]*^]* matches 0 or more any character because \\P{sc=Han} and \\p{sc=Han} are opposite.I guess you want:--CODE--You may want to add spaces:--CODE--or:--CODE--,"[""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}a-zA-Z0-9]*<f\\\""number\\\"">\"");"", ""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}a-zA-Z0-9\\s]*<f\\\""number\\\"">\"");"", ""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[^<]*<f\\\""number\\\"">\"");""]",Strings,"{""Regular expressions"": 1.0}"
88434,88456,How can I detect if caps lock is toggled in Swing?,I'm trying to build a better username/password field for my workplace and would like to be able to complain when they have their caps lock on.Is this possible?  And if so I'd like to have it detected before the client types their first letter.Is there a non-platform specific way to do this?,[],<java><swing>,88456,"Try this, from java.awt.Toolkit, returns a boolean:--CODE--","[""Toolkit.getDefaultToolkit().getLockingKeyState(KeyEvent.VK_CAPS_LOCK)""]",Graphical User Interfaces,"{""The Swing event model"": 1.95, ""Capturing an event"": 1.5, ""Swing basics"": 0.3}"
88838,88863,How to convert Strings to and from UTF8 byte arrays in Java,"In Java, I have a String and I want to encode it as a byte array (in UTF8, or some other encoding). Alternately, I have a byte array (in some known encoding) and I want to convert it into a Java String. How do I do these conversions?",[],<java><string><encoding><character-encoding>,88863,"Convert from String to byte[]:--CODE--Convert from byte[] to String:--CODE--You should, of course, use the correct encoding name. My examples used US-ASCII and UTF-8, the two most common encodings.","[""String s = \""some text here\"";byte[] b = s.getBytes(StandardCharsets.UTF_8);"", ""byte[] b = {(byte) 99, (byte)97, (byte)116};String s = new String(b, StandardCharsets.US_ASCII);""]",Strings,"{""Operations on Strings"": 2.65}"
104599,104709,Sort on a string that may contain a number,"I need to write a Java Comparator class that compares Strings, however with one twist.  If the two strings it is comparing are the same at the beginning and end of the string are the same, and the middle part that differs is an integer, then compare based on the numeric values of those integers.  For example, I want the following strings to end up in order they're shown:aaabbb 3 cccbbb 12 cccccc 11dddeee 3 ddd jpeg2000 eeeeee 12 ddd jpeg2000 eeeAs you can see, there might be other integers in the string, so I can't just use regular expressions to break out any integer.  I'm thinking of just walking the strings from the beginning until I find a bit that doesn't match, then walking in from the end until I find a bit that doesn't match, and then comparing the bit in the middle to the regular expression ""[0-9]+"", and if it compares, then doing a numeric comparison, otherwise doing a lexical comparison.Is there a better way?Update I don't think I can guarantee that the other numbers in the string, the ones that may match, don't have spaces around them, or that the ones that differ do have spaces.",[],<java><algorithm><string><sorting><comparison>,104709,"[The Alphanum Algorithm](""http://www.davekoelle.com/alphanum.html"")From the website""People sort strings with numbers differently than software. Most sorting algorithms compare ASCII values, which produces an ordering that is inconsistent with human logic. Here's how to fix it.""Edit: Here's a link to the [Java Comparator Implementation](""http://www.davekoelle.com/files/AlphanumComparator.java"") from that site.",[],Strings,"{""Operations on Strings"": 2.25}"
106067,106096,regular expression to replace two (or more) consecutive characters by only one?,"In java, which regular expression can be used to replace these,for example:before:aaabbbafter:abbefore:14442345 after:142345thanks!",[],<java><regex>,106096,"In perl--CODE--Does the trick, I assume if java has perl compatible regexps it should work too.Edit: Here is what it means--CODE--Edit: As others have pointed out, the syntax in Java would become --CODE--remember to escape the \1","[""s/(.)\\1+/$1/g;"", ""s {    (.)  # match any charater ( and capture it )    \\1   # if it is followed by itself     +    # One or more times}{$1}gx;  # And replace the whole things by the first captured character (with g modifier to replace all occurences)"", ""original.replaceAll(\""(.)\\\\1+\"", \""$1\"");""]",Strings,"{""Regular expressions"": 2.9}"
106446,,using JTables with netbeans 6.1 aka Matisse,"Before you answer: Yes I have read the jtable tutorial over at Sun. No, it did not help me. Yes, I am a dolt. Please don't answer with a reference to that document. What I am specifically interested in is how to dynamically add rows and columns to my Jtable via the Netbeans IDE. I already have an object that contains a hashmap with my data. I can't figure out where or what object I should be passing that object to. Thanks for your time! I have a vector that contains a series (of length l) of objects (each one corresponding to a row). How do I get that vector object to display on the JTable?",[],<java><swing><netbeans>,106462,"A JTable uses a TableModel to hold its data. Your hash/vector of data will need to be adapted to be used; you can write a TableModel implementation, using the hash/vector as backing data, or, if you won't be dynamically updating the hash/vector and needing it to show automatically, you can simply copy everything into an instance of DefaultTableModel, and use that.If you do use an adapter, and dynamically update the hash/vector, remember that all updates must be done in the event dispatch thread. :-)",[],Graphical User Interfaces,"{""A selection of Swing components"": 2.15}"
110016,110042,Multiple column sort in JTable,I know that JTable can sort by a single column. But is it possible to allow for multiple column sort or do I need to write the code myself?,[],<java><swing><jtable>,110042,"You can sort by multiple columns by specifying more than one sort key when calling setSortKeys in the [RowSorter](""http://java.sun.com/javase/6/docs/api/javax/swing/RowSorter.html"") you're using.",[],Graphical User Interfaces,"{""A selection of Swing components"": 2.15}"
6113944,6115913,How cancel the execution of a SwingWorker?,"Currently I have two SwingWorker threads doing job on background. If an exception occurs, the method stop to work, but the thread still runnig. How I do to stop the execution and kill the thread of the doInBackground() if an exception occurs?this.cancel(true) don't destroy/close the thread. How can I achieve this?--CODE--I see these threads in the debug of Netbeans.--CODE--","[""@Overrideprotected Boolean doInBackground() throws Exception {        try {            while (true) {                //some code here                                   return true;            }        } catch (Exception e) {                   this.cancel(true); //<-- this not cancel the thread                           return false;        }    }"", ""'AWT-EventQueue-0' em execução'AWT-Windows' em execução'SwingWorker-pool-1-thread-1' em execução'SwingWorker-pool-1-thread-2' em execução//*em execução = in execution""]",<java><multithreading><swing><swingworker><cancellation>,6115913,"By default, SwingWorker reuses worker threads, so it is perfectly normal that, even though, doInBackground() has returned, to still see the thread that executed your method.You can identify this fact by looking at the thread names, as reported by NetBeans: SwingWorker-pool-1-thread-1, where that pool is managed by SwingWorker.If you want more control, you can also pass the SwingWorker instance to an Executor.Just check [SwingWorker](""https://docs.oracle.com/javase/8/docs/api/javax/swing/SwingWorker.html"") and [Executor](""https://docs.oracle.com/javase/8/docs/api/java/util/concurrent/Executor.html"") javadoc for further information.Besides, SwingWorker.cancel() is not supposed to be called from doInBackground() but rather from another thread, generally the EDT, e.g. when user clicks a Cancel button in a progress dialog.",[],Graphical User Interfaces,"{""Concurrency & Swing"": 2.45}"
117690,117711,Wait until any of Future<T> is done,"I have few asynchronous tasks running and I need to wait until at least one of them is finished (in the future probably I'll need to wait util M out of N tasks are finished).Currently they are presented as Future, so I need something like--CODE--Is there anything like this? Or anything similar, not necessary for Future. Currently I loop through collection of futures, check if one is finished, then sleep for some time and check again. This looks like not the best solution, because if I sleep for long period then unwanted delay is added, if I sleep for short period then it can affect performance.I could try using --CODE--and decrease countdown when task is complete and do --CODE--, but I found it possible only if I control Future creation. It is possible, but requires system redesign, because currently logic of tasks creation (sending Callable to ExecutorService) is separated from decision to wait for which Future. I could also override --CODE--and create custom implementation of RunnableFuture with ability to attach listener to be notified when task is finished, then attach such listener to needed tasks and use CountDownLatch, but that means I have to override newTaskFor for every ExecutorService I use - and potentially there will be implementation which do not extend AbstractExecutorService. I could also try wrapping given ExecutorService for same purpose, but then I have to decorate all methods producing Futures.All these solutions may work but seem very unnatural. It looks like I'm missing something simple, like --CODE--in c#. Are there any well known solutions for such kind of problem?UPDATE:Originally I did not have access to Future creation at all, so there were no elegant solution. After redesigning system I got access to Future creation and was able to add countDownLatch.countdown() to execution process, then I can countDownLatch.await() and everything works fine.Thanks for other answers, I did not know about ExecutorCompletionService and it indeed can be helpful in similar tasks, but in this particular case it could not be used because some Futures are created without any executor - actual task is sent to another server via network, completes remotely and completion notification is received.","[""/** * Blocks current thread until one of specified futures is done and returns it.  */public static <T> Future<T> waitForAny(Collection<Future<T>> futures)         throws AllFuturesFailedException"", ""new CountDownLatch(1)"", ""countdown.await()"", ""<T> RunnableFuture<T> AbstractExecutorService.newTaskFor(Callable<T> callable)"", ""WaitHandle.WaitAny(WaitHandle[] waitHandles)""]",<java><multithreading><concurrency>,117711,"As far as I know, Java has no analogous structure to the WaitHandle.WaitAny method.It seems to me that this could be achieved through a ""WaitableFuture"" decorator:--CODE--Though this would only work if it can be inserted before the execution code, since otherwise the execution code would not have the new doTask() method. But I really see no way of doing this without polling if you cannot somehow gain control of the Future object before execution.Or if the future always runs in its own thread, and you can somehow get that thread. Then you could spawn a new thread to join each other thread, then handle the waiting mechanism after the join returns... This would be really ugly and would induce a lot of overhead though. And if some Future objects don't finish, you could have a lot of blocked threads depending on dead threads. If you're not careful, this could leak memory and system resources.--CODE--","[""public WaitableFuture<T>    extends Future<T>{    private CountDownLatch countDownLatch;    WaitableFuture(CountDownLatch countDownLatch)    {        super();        this.countDownLatch = countDownLatch;    }    void doTask()    {        super.doTask();        this.countDownLatch.countDown();    }}"", ""/** * Extremely ugly way of implementing WaitHandle.WaitAny for Thread.Join(). */public static joinAny(Collection<Thread> threads, int numberToWaitFor){    CountDownLatch countDownLatch = new CountDownLatch(numberToWaitFor);    foreach(Thread thread in threads)    {        (new Thread(new JoinThreadHelper(thread, countDownLatch))).start();    }    countDownLatch.await();}class JoinThreadHelper    implements Runnable{    Thread thread;    CountDownLatch countDownLatch;    JoinThreadHelper(Thread thread, CountDownLatch countDownLatch)    {        this.thread = thread;        this.countDownLatch = countDownLatch;    }    void run()    {        this.thread.join();        this.countDownLatch.countDown();    }}""]",Concurrency,"{""Cooperation between tasks"": 2.7, ""Basic threading"": 2.05}"
121715,121777,Dynamically added JTable not displaying,"Java Newbie here. I have a JFrame that I added to my netbeans project, and I've added the following method to it, which creates a JTable. Problem is, for some reason when I call this method, the JTable isn't displayed. Any suggestions?--CODE--The method is called in the following context:--CODE--... where DBReader.outMatchesTable() is defined as--CODE--My guess is I'm overlooking something, either about the swing classes I'm using, or about Java. Any ideas?","[""public void showFromVectors(Vector colNames, Vector data) {         jt = new javax.swing.JTable(data, colNames);    sp = new javax.swing.JScrollPane(jt);    //NB: \""this\"" refers to my class DBGridForm, which extends JFrame    this.add(sp,java.awt.BorderLayout.CENTER);    this.setSize(640,480);}"", ""DBGridForm gf = new DBGridForm(); //DBGridForm extends JFrameDBReader.outMatchesTable(gf);gf.setVisible(true);"", ""static public void outMatchesTable(DBGridForm gf) {    DBReader ddb = new DBReader();    ddb.readMatchesTable(null);    gf.showFromVectors(ddb.lastRsltColNames, ddb.lastRsltData);}""]",<java><swing><netbeans><jtable>,121777,"""this"" in your context is unclear. Is it inside an applet? a JFrame?You may be having a layout issue, make sure you've called setLayout on your class with a new borderlayout.In a swing application, you'd want to use getRootContentPane().add() instead of a raw add(), depending on the version.Java tutorial on adding top-level content: [http://java.sun.com/docs/books/tutorial/uiswing/components/toplevel.html](""http://java.sun.com/docs/books/tutorial/uiswing/components/toplevel.html"")",[],Graphical User Interfaces,"{""A selection of Swing components"": 2.3}"
121762,121853,Sleep a thread until an event is attended in another thread,"I have two threads in an Android application, one is the view thread, and the other is the worker thread. What I want to do is, sleep the worker thread until the view thread terminates the handling of the onDraw method.How i can do this? is there any wait for the signal or something?",[],<java><android><multithreading>,121853,"Share a java.lang.Object between the two threads, whose sole purpose is to tell the worker thread when it can continue its work.  Whenever the worker thread reaches a point where it should sleep, it does this:--CODE--When the view thread finishes its onDraw work, it calls this:--CODE--Note the requirement that the view thread owns the monitor on the object.  In your case, this should be fairly simple to enforce with a small sync block:--CODE--Consult the javadoc for java.lang.Object on these methods (and notifyAll, just in case); they're very well written.  ","[""stick.wait();"", ""stick.notify();"", ""void onDraw() {  ...  synchronized (stick) {    stick.notify();  }} // end onDraw()""]",Concurrency,"{""Cooperation between tasks"": 2.65, ""Basic threading"": 0.5}"
121988,,How can I add a REGEX match to my J2ME project?,The question pretty much sums it up.  Just want to run a regular expression match on a string in J2ME.,[],<java><regex><java-me>,669179,"JRegex will not run on CLDC device. Try this one: [code.google.com/p/regexp-me/](""http://code.google.com/p/regexp-me/"").",[],Strings,"{""Regular expressions"": 2.8}"
128016,128040,"Java, Swing: how do I set the maximum width of a JTextField?","I'm writing a custom file selection component. In my UI, first the user clicks a button, which pops a JFileChooser; when it is closed, the absolute path of the selected file is written to a JTextField.The problem is, absolute paths are usually long, which causes the text field to enlarge, making its container too wide.I've tried this, but it didn't do anything, the text field is still too wide:--CODE--Currently, when it is empty, it is already 400px long, because of GridBagConstraints attached to it.I'd like it to be like text fields in HTML pages, which have a fixed size and do not enlarge when the input is too long.So, how do I set the max size for a JTextField ?","[""fileNameTextField.setMaximumSize(new java.awt.Dimension(450, 2147483647));""]",<java><swing><jtextfield>,128040,"It may depend on the layout manager your text field is in.  Some layout managers expand and some do not.  Some expand only in some cases, others always.  I'm assuming you're doing--CODE--If so, for most reasonable layouts, the field should not change size (at least, it shouldn't grow).  Often layout managers behave badly when put into JScrollPanes.In my experience, trying to control the sizes via setMaximumSize and setPreferredWidth and so on are precarious at best.  Swing decided on its own with the layout manager and there's little you can do about it.All that being said, I have no had the problem you are experiencing, which leads me to believe that some judicious use of a layout manager will solve the problem.","[""filedNameTextField = new JTextField(80); // 80 == columns""]",Graphical User Interfaces,"{""Text areas"": 0.5, ""A selection of Swing components"": 2.4, ""Controlling layout"": 0.8}"
138533,138767,"Java Swing: Ctrl+F1 does not work globally, but each other key combination","I have a swing gui with a tabbed pane in the north. Several key events are added to its input map:--CODE--If the tabbed pane or another button in a toolbar has the focus, Ctrl+F1 has no function. If another component is focused (e.g. JTree), Ctrl+F1 executes the action.The problem is, that it workes everywhere if I change the Keycode to e.g. VK_F2.The key F1 is'nt used anywhere else in the program.Any idea?Thanks,AndréEdit: A full text search in the java source code gave the answer: The ToolTipManager registeres the Key Ctrl+F1 to display the tooltip text if the key combination is pressed. So if a button with a tooltip is focused, Ctrl+F1 is handled by the ToolTipManager. Otherwise my action is called.","[""InputMap paneInputMap = pane.getInputMap(JComponent.WHEN_ANCESTOR_OF_FOCUSED_COMPONENT);paneInputMap.put( KeyStroke.getKeyStroke( KeyEvent.VK_E, KeyEvent.CTRL_MASK ), \""finish\"");paneInputMap.put( KeyStroke.getKeyStroke( KeyEvent.VK_F1, KeyEvent.CTRL_MASK ), \""toggletoolbar\"");""]",<java><swing><keyevent>,138767,"So that this gets an answer, here's the solution copied from your edit in the question. ;-)  The ToolTipManager registeres the Key  Ctrl+F1 to display the tooltip text if  the key combination is pressed. So if  a button with a tooltip is focused,  Ctrl+F1 is handled by the  ToolTipManager. Otherwise my action is  called.",[],Graphical User Interfaces,"{""The Swing event model"": 2.3, ""Capturing an event"": 0.65, ""A selection of Swing components"": 1.2999999999999998}"
138793,138922,How do I add a separator to a JComboBox in Java?,"I have a JComboBox and would like to have a separator in the list of elements. How do I do this in Java?A sample scenario where this would come in handy is when making a combobox for font-family-selection; similar to the font-family-selection-control in Word and Excel. In this case I would like to show the most-used-fonts at the top, then a separator and finally all font-families below the separator in alphabetical order.Can anyone help me with how to do this or is this not possible in Java?",[],<java><swing><jcombobox><jseparator>,138922,"There is a pretty short tutorial with an example that shows how to use a custom ListCellRenderer on java2s [http://www.java2s.com/Code/Java/Swing-Components/BlockComboBoxExample.htm](""http://www.java2s.com/Code/Java/Swing-Components/BlockComboBoxExample.htm"")Basically it involves inserting a known placeholder in your list model and when you detect the placeholder in the ListCellRenderer you return an instance of 'new JSeparator(JSeparator.HORIZONTAL)'",[],Graphical User Interfaces,"{""A selection of Swing components"": 2.45}"
141284,141303,The difference between the Runnable and Callable interfaces in Java,"What is the difference between using the Runnable and Callable interfaces when designing a concurrent thread in Java, why would you choose one over the other?",[],<java><multithreading><interface><runnable><callable>,141303,"See explanation [here](""http://docs.oracle.com/javase/7/docs/api/java/util/concurrent/Callable.html"").  The Callable interface is similar to  Runnable, in that both are designed  for classes whose instances are  potentially executed by another  thread. A Runnable, however, does not  return a result and cannot throw a  checked exception.",[],Concurrency,"{""Basic threading"": 2.45}"
149153,6504520,Loading animated gif from JAR file into ImageIcon,"I'm trying to create a ImageIcon from a animated gif stored in a jar file.--CODE--The image loads, but only the first frame of the animated gif.  The animation does not play. If I load the animated gif from a file on the filesystem, everything works as expected.  The animation plays through all the of frames.  So this works:--CODE--How can I load an animated gif into an ImageIcon from a jar file?EDIT:   Here is a complete test case, why doesn't this display the animation?--CODE--","[""ImageIcon imageIcon = new ImageIcon(ImageIO.read(MyClass.class.getClassLoader().getResourceAsStream(\""animated.gif\"")));"", ""ImageIcon imageIcon = new ImageIcon(\""/path/on/filesystem/animated.gif\"");"", ""import javax.imageio.ImageIO;import javax.swing.*;public class AnimationTest extends JFrame {    public static void main(String[] args) {        SwingUtilities.invokeLater(new Runnable() {            public void run() {                AnimationTest test = new AnimationTest();                test.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);                test.setVisible(true);            }        });    }    public AnimationTest() {        super();        try {            JLabel label = new JLabel();            ImageIcon imageIcon = new ImageIcon(ImageIO.read(AnimationTest.class.getClassLoader().getResourceAsStream(\""animated.gif\"")));            label.setIcon(imageIcon);            imageIcon.setImageObserver(label);            add(label);            pack();        } catch (Exception e) {            e.printStackTrace();        }    }}""]",<java><swing><animated-gif><javax.imageio>,6504520,This reads gif animation from inputStream--CODE--,"[""InputStream in = ...;Image image = Toolkit.getDefaultToolkit().createImage(org.apache.commons.io.IOUtils.toByteArray(in));""]",Graphical User Interfaces,"{""A selection of Swing components"": 1.45}"
160315,160861,How to check for key being held down on startup in Java,"I'm trying to write a resolution selection dialog that pops up when a program first starts up. To prevent boring the user, I want to implement the fairly standard feature that you can turn off that dialog with a checkbox, but get it back by holding down the alt key at startup.Unfortunately, there is no obvious way to ask java whether a given key is currently being pressed. You can only register to be informed of new key presses via a KeyListener, but that doesn't help if the keypress starts before the app launches.",[],<java><swing><keyboard><key><awt>,160861,--CODE--,"[""public class LockingKeyDemo {    static Toolkit kit = Toolkit.getDefaultToolkit();    public static void main(String[] args) {        System.out.println(\""caps lock2 = \""                + kit.getLockingKeyState(KeyEvent.VK_CAPS_LOCK));}}""]",Graphical User Interfaces,"{""A selection of Swing components"": 1.4, ""The Swing event model"": 1.75}"
160382,161145,Extract all string from a java project,"I have a rather big number of source files that I need parse and extract all string literals and put them in a file as play old java constant.For exemple:--CODE--Would become:--CODE--And in Constants.java I would have:--CODE--I do not want the strings to be externalized in a property text file.One reason is for consistency and code readability.The other is that our client code uses GWT, which does not support Java property text file mechanism.I could write some sort of parser (using ant replace task maybe)?But I wondered if an IDE already does this sort of thing automatically.","[""Label l = new Label(\""Cat\"");"", ""Label l = new Label(Constants.CAT);"", ""public final static String CAT = \""Cat\"";""]",<java><eclipse><string><gwt><plugins>,161145,"To complete Peter Kelley answer, you might consider for eclipse IDE the AST solution.You might then write an AST program which parse your source code and does what you want.A full example is available in this [eclipse corner article](""http://www.eclipse.org/articles/article.php?file=Article-JavaCodeManipulation_AST/index.html""), also more details in the [eclipse help](""http://help.eclipse.org/help33/index.jsp?topic=/org.eclipse.jdt.doc.isv/reference/api/org/eclipse/jdt/core/dom/ASTParser.html"").And you can find some examples in [Listing 5 of the section ""Implementation of in-place translation"" of Automating the embedding of Domain Specific Languages in Eclipse JDT](""http://www.eclipse.org/articles/Article-AutomatingDSLEmbeddings/#implementation_in_place""), alongside [multiple examples in GitHub projects](""https://github.com/search?q=%22org.eclipse.jdt.core.dom.ASTVisitor%22&amp;ref=cmdform&amp;type=Code"").",[],Strings,"{""Operations on Strings"": 1.85}"
181615,181971,Java threads: Is it possible view/pause/kill a particular thread from a different java program running on the same JVM?,"I have a program 'foo' running different threads, fooT1, fooT2, .. fooTn.Now if I want write another program 'bar', which could kill the thread fooTr, is that possible?Reason: One of the thread fooTr tracks product license. If this thread is killed; one may run this product indefinitely. And killing 'foo' itself is tolerable as 'foo' as that is exactly what is being done on license expiry.System: Fedora Distribution of LinuxNote: The commands which start JVM and program foo are placed in /etc/init.d and anyone who has a decent knowledge of rc.1/rc.2/rc.3 structure can change/add the starting parameters to these.I hope my question is clear. If not, I can always edit it.",[],<java><multithreading><jvm>,181971,"To my knowledge it is not possible to do this directly. What you could consider however is to create some kind of service on your 'foo' that can be called from 'bar' to kill the thread. There are, of course, hundreds of ways to implement this. My first thought would be to do this using [RMI](""https://stackoverflow.com/search?q=java+rmi"").",[],Concurrency,"{""Cooperation between tasks"": 1.6, ""Basic threading"": 1.2}"
181690,181757,Thread synchronization question (in java),"my java application has a loading task which requires two server calls which can be parallelized. So I launch a Thread t1 (doing task1) and a Thread t2 (for task2).I want then to do a specific task, task3 when both other tasks (1 &amp; 2) are over. Naturally I can't tell which of task1 and task2 will finish first...Which would be for you the simplest (and safest) way to code this ?Thank you for your help",[],<java><multithreading><concurrency><synchronization>,181757,"You've got several options:If task3 is on a separate thread AND task1 and task2 threads are exclusive to their tasks (no thread pooling) and finish when the task finish, you can use {T1.join(); T2.join();} to wait for both threads. Pros: Easy. Cons: The situation is rarely that simple.If task3 is on a separate thread, you could use java.util.concurrent.CountDownLatch shared between all threads. Task 3 will wait for the latch while task1 and task2 will decrease it. Pros: quite easy, oblivious to the environment. Cons: require T3 to be created before it's really needed.If task3 should only be created AFTER task1 and task2 are finished (no separate thread for it until after task1 and task2 finishes), you'd have to build something a bit more complex. I'd recommend either creating your own ExecutorService that take a condition n addition to the future and only executes the future when the condition changes, or creating a management service that will check conditions and submit given futures based on these conditions. Mind, this is of the top of my head, there might be simpler solutions. Pros: resources-friendly. Cons: complex.",[],Concurrency,"{""Basic threading"": 2.05, ""Cooperation between tasks"": 1.4, ""Sharing resources"": 0.65, ""New library components"": 0.7}"
