["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Inheritance"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Inheritance", "Collections", "Fundamental Programming Structures in Java"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Concurrency"]	["Concurrency", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Inheritance", "Exceptions, Assertions, and Logging", "Collections"]	["Collections", "Inheritance", "Generic Programming"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Objects and Classes", "Collections", "Fundamental Programming Structures in Java"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Concurrency", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]
["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming"]	["Concurrency", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Inheritance", "Fundamental Programming Structures in Java", "Collections"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]
["Collections", "Inheritance", "Generic Programming"]	["Inheritance", "Generic Programming", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Concurrency", "Collections"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Interfaces, Lambda Expressions, and Inner Classes", "Fundamental Programming Structures in Java", "Generic Programming"]	["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Collections", "Fundamental Programming Structures in Java", "Generic Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]
["Inheritance", "Collections", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "Collections"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Exceptions, Assertions, and Logging", "Objects and Classes", "Inheritance"]
["Exceptions, Assertions, and Logging", "Concurrency", "Objects and Classes"]	["Concurrency", "Collections", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Generic Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Inheritance", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Inheritance", "Collections", "Fundamental Programming Structures in Java"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Concurrency", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Concurrency"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Collections", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]
["Collections", "Inheritance", "Objects and Classes"]	["Collections", "Concurrency", "Inheritance"]
["Collections", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Concurrency", "Collections", "Inheritance"]	["Concurrency", "Fundamental Programming Structures in Java", "Collections"]
["Collections", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]	["Graphical User Interface Programming", "Collections", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["Concurrency", "Exceptions, Assertions, and Logging", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Concurrency", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["Concurrency", "Exceptions, Assertions, and Logging", "User Interface Components with Swing"]
["Objects and Classes", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Objects and Classes", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]
["Collections", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Exceptions, Assertions, and Logging", "Concurrency", "Objects and Classes"]
["Inheritance", "Fundamental Programming Structures in Java", "Collections"]	["Inheritance", "Collections", "Fundamental Programming Structures in Java"]
["Generic Programming", "Inheritance", "Collections"]	["Generic Programming", "Collections", "Inheritance"]
["Concurrency", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Exceptions, Assertions, and Logging", "Concurrency", "Fundamental Programming Structures in Java"]	["Objects and Classes", "Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Inheritance", "Generic Programming"]	["Objects and Classes", "Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]	["Graphical User Interface Programming", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]
["Collections", "Generic Programming", "Inheritance"]	["Collections", "Inheritance", "Generic Programming"]
["Interfaces, Lambda Expressions, and Inner Classes", "Concurrency", "Objects and Classes"]	["Concurrency", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Inheritance"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "User Interface Components with Swing"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]
["Generic Programming", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]
["Collections", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Exceptions, Assertions, and Logging", "Concurrency"]
["Exceptions, Assertions, and Logging", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Concurrency"]
["Graphical User Interface Programming", "Concurrency", "Exceptions, Assertions, and Logging"]	["Interfaces, Lambda Expressions, and Inner Classes", "Collections", "Exceptions, Assertions, and Logging"]
["Exceptions, Assertions, and Logging", "Concurrency", "Fundamental Programming Structures in Java"]	["Exceptions, Assertions, and Logging", "Concurrency", "Collections"]
["Collections", "Objects and Classes", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Collections"]
["Exceptions, Assertions, and Logging", "Concurrency", "Collections"]	["Graphical User Interface Programming", "Objects and Classes", "Collections"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]	["Objects and Classes", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Concurrency"]	["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]
["Collections", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]
["Generic Programming", "Objects and Classes", "Inheritance"]	["Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes", "Inheritance"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Interfaces, Lambda Expressions, and Inner Classes", "Inheritance", "Generic Programming"]	["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Inheritance"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Concurrency"]	["Objects and Classes", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Inheritance", "Objects and Classes"]	["Collections", "Inheritance", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Concurrency", "Exceptions, Assertions, and Logging"]	["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Concurrency"]
["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming", "Objects and Classes"]	["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Exceptions, Assertions, and Logging", "Collections", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Objects and Classes", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]	["Interfaces, Lambda Expressions, and Inner Classes", "Concurrency", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Concurrency", "Collections", "Graphical User Interface Programming"]	["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]
["Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes", "Collections"]	["Objects and Classes", "Generic Programming", "Collections"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Concurrency", "Collections"]
["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Collections", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Exceptions, Assertions, and Logging", "Generic Programming", "User Interface Components with Swing"]	["Exceptions, Assertions, and Logging", "User Interface Components with Swing", "Concurrency"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Inheritance", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Inheritance", "Collections", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Collections"]	["User Interface Components with Swing", "Collections", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Concurrency", "Collections", "Exceptions, Assertions, and Logging"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Concurrency"]
["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Collections", "Generic Programming", "Graphical User Interface Programming"]
["Graphical User Interface Programming", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Objects and Classes", "Graphical User Interface Programming", "Collections"]
["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]	["Objects and Classes", "Graphical User Interface Programming", "Generic Programming"]
["Inheritance", "Generic Programming", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]	["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Collections", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Concurrency"]	["Objects and Classes", "Collections", "Concurrency"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]	["Collections", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Exceptions, Assertions, and Logging", "Concurrency", "Objects and Classes"]	["Exceptions, Assertions, and Logging", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Generic Programming", "Inheritance"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Collections"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Collections", "Concurrency", "Graphical User Interface Programming"]	["Collections", "Concurrency", "Graphical User Interface Programming"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Objects and Classes", "Concurrency", "Fundamental Programming Structures in Java"]
["Graphical User Interface Programming", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Concurrency"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Collections"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Collections", "Generic Programming", "Objects and Classes"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Concurrency"]
["User Interface Components with Swing", "Collections", "Concurrency"]	["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Inheritance", "Collections", "Fundamental Programming Structures in Java"]	["Collections", "User Interface Components with Swing", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]	["Concurrency", "Fundamental Programming Structures in Java", "Collections"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Collections", "Generic Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["Collections", "Graphical User Interface Programming", "Concurrency"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Concurrency"]	["Interfaces, Lambda Expressions, and Inner Classes", "Concurrency", "Objects and Classes"]
["Concurrency", "Collections", "Fundamental Programming Structures in Java"]	["Concurrency", "Fundamental Programming Structures in Java", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Concurrency", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Collections"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Objects and Classes", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]
["Collections", "Objects and Classes", "Generic Programming"]	["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Exceptions, Assertions, and Logging"]	["Graphical User Interface Programming", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
["Objects and Classes", "Collections", "Generic Programming"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]
["Collections", "Inheritance", "Generic Programming"]	["Objects and Classes", "Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes"]
["Interfaces, Lambda Expressions, and Inner Classes", "Concurrency", "Objects and Classes"]	["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Collections"]	["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Concurrency"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]	["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Collections"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Concurrency", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]
["Concurrency", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Concurrency", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Collections", "Generic Programming", "Fundamental Programming Structures in Java"]	["Generic Programming", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Objects and Classes", "Graphical User Interface Programming", "Collections"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Graphical User Interface Programming", "Fundamental Programming Structures in Java", "Concurrency"]	["Concurrency", "Collections", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Concurrency", "Inheritance"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Collections", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Graphical User Interface Programming", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]	["Graphical User Interface Programming", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]
["Generic Programming", "Objects and Classes", "Inheritance"]	["Generic Programming", "Objects and Classes", "Inheritance"]
["Objects and Classes", "Collections", "Fundamental Programming Structures in Java"]	["Concurrency", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Objects and Classes", "Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes"]	["Objects and Classes", "Generic Programming", "Inheritance"]
["Collections", "Graphical User Interface Programming", "Objects and Classes"]	["Collections", "Graphical User Interface Programming", "Concurrency"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]
["Objects and Classes", "Concurrency", "Exceptions, Assertions, and Logging"]	["Objects and Classes", "Collections", "Concurrency"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Objects and Classes"]	["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Concurrency"]
["Exceptions, Assertions, and Logging", "User Interface Components with Swing", "Concurrency"]	["Exceptions, Assertions, and Logging", "Generic Programming", "User Interface Components with Swing"]
["Objects and Classes", "Collections", "Graphical User Interface Programming"]	["Collections", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "User Interface Components with Swing", "Graphical User Interface Programming"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Concurrency"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]	["Collections", "Concurrency", "Fundamental Programming Structures in Java"]
["Concurrency", "Fundamental Programming Structures in Java", "Collections"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]
["Graphical User Interface Programming", "Objects and Classes", "User Interface Components with Swing"]	["Graphical User Interface Programming", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
