382,384,What is the meaning of the type safety warning in certain Java generics casts?,"What is the meaning of the Java warning?  Type safety: The cast from Object to List is actually checking against the erased type ListI get this warning when I try to cast an Object to a type with generic information, such as in the following code:--CODE--","[""Object object = getMyList();List<Integer> list = (List<Integer>) object;""]",<java><generics><warnings><casting><type-safety>,384,"This warning is there because Java is not actually storing type information at run-time in an object that uses generics.  Thus, if object is actually a List, there will be no ClassCastException at run-time except until an item is accessed from the list that doesn't match the generic type defined in the variable.  This can cause further complications if items are added to the list, with this incorrect generic type information.  Any code still holding a reference to the list but with the correct generic type information will now have an inconsistent list.  To remove the warning, try:--CODE--However, note that you will not be able to use certain methods such as add because the compiler doesn't know if you are trying to add an object of incorrect type.  The above will work in a lot of situations, but if you have to use add, or some similarly restricted method, you will just have to suffer the yellow underline in Eclipse (or a SuppressWarning annotation).","[""List<?> list = (List<?>) object;""]",Generic Programming,"{""Restrictions and Limitations"": 1.35, ""Defining a Simple Generic Class"": 0.3, ""Generic Code and the Virtual Machine"": 0.7}"
81786,81803,Can I add new methods to the String class in Java?,"I'd like to add a method AddDefaultNamespace() to the String class in Java so that I can type ""myString"".AddDefaultNamespace() instead of DEFAULTNAMESPACE + ""myString"", to obtain something like ""MyDefaultNameSpace.myString"". I don't want to add another derived class either (PrefixedString for example).Maybe the approach is not good for you but I personally hate using +. But, anyway, is it possible to add new methods to the String class in Java?Thanks and regards.",[],<java><string>,81803,String is a final class which means it cannot be extended to work on your own implementation.,[],Fundamental Programming Structures in Java,"{""Strings"": 1.9}"
84285,,calling thread.start() within its own constructor,is it legal for a thread to call this.start() inside its own constructor? and if so what potential issues can this cause? I understand that the object wont have fully initialized until the constructor has run to completion but aside from this are there any other issues?  ,[],<java><multithreading>,84937,"For memory-safety reasons, you shouldn't expose a reference to an object or that object's fields to another thread from within its constructor.  Assuming that your custom thread has instance variables, by starting it from within the constructor, you are guaranteed to violate the Java Memory Model guidelines.  See [Brian Goetz's Safe Construction Techniques](""http://www.ibm.com/developerworks/java/library/j-jtp0618.html"") for more info.",[],Concurrency,"{""Thread Properties"": 0.85, ""Tasks and Thread Pools"": 0.65, ""What Are Threads?"": 0.6, ""Thread States"": 0.55}"
86780,86832,How to check if a String contains another String in a case insensitive manner in Java?,"Say I have two strings,--CODE--I want to perform a check returning that s2 is contained within s1. I can do this with:--CODE--I am pretty sure that contains() is case sensitive, however I can't determine this for sure from reading the documentation. If it is then I suppose my best method would be something like:--CODE--All this aside, is there another (possibly better) way to accomplish this without caring about case-sensitivity?","[""String s1 = \""AbBaCca\"";String s2 = \""bac\"";"", ""return s1.contains(s2);"", ""return s1.toLowerCase().contains(s2.toLowerCase());""]",<java><string>,86832,"Yes, contains is case sensitive.  You can use java.util.regex.Pattern with the CASE_INSENSITIVE flag for case insensitive matching:--CODE--EDIT: If s2 contains regex special characters (of which there are many) it's important to quote it first.  I've corrected my answer since it is the first one people will see, but vote up Matt Quail's since he pointed this out.","[""Pattern.compile(Pattern.quote(wantedStr), Pattern.CASE_INSENSITIVE).matcher(source).find();""]",Fundamental Programming Structures in Java,"{""Strings"": 1.8}"
88036,88097,Does the unmodifiable wrapper for java collections make them thread safe?,I need to make an ArrayList of ArrayLists thread safe. I also cannot have the client making changes to the collection. Will the unmodifiable wrapper make it thread safe or do I need two wrappers on the collection?,[],<java><multithreading><collections><unmodifiable>,88097,"It depends. The wrapper will only prevent changes to the collection it wraps, not to the objects in the collection. If you have an ArrayList of ArrayLists, the global List as well as each of its element Lists need to be wrapped separately, and you may also have to do something for the contents of those lists. Finally, you have to make sure that the original list objects are not changed, since the wrapper only prevents changes through the wrapper reference, not to the original object.You do NOT need the synchronized wrapper in this case.",[],Concurrency,"{""Thread-Safe Collections"": 1.5}"
88434,88456,How can I detect if caps lock is toggled in Swing?,I'm trying to build a better username/password field for my workplace and would like to be able to complain when they have their caps lock on.Is this possible?  And if so I'd like to have it detected before the client types their first letter.Is there a non-platform specific way to do this?,[],<java><swing>,88456,"Try this, from java.awt.Toolkit, returns a boolean:--CODE--","[""Toolkit.getDefaultToolkit().getLockingKeyState(KeyEvent.VK_CAPS_LOCK)""]",Graphical User Interface Programming,"{""Event Handling"": 1.6}"
88838,88863,How to convert Strings to and from UTF8 byte arrays in Java,"In Java, I have a String and I want to encode it as a byte array (in UTF8, or some other encoding). Alternately, I have a byte array (in some known encoding) and I want to convert it into a Java String. How do I do these conversions?",[],<java><string><encoding><character-encoding>,88863,"Convert from String to byte[]:--CODE--Convert from byte[] to String:--CODE--You should, of course, use the correct encoding name. My examples used US-ASCII and UTF-8, the two most common encodings.","[""String s = \""some text here\"";byte[] b = s.getBytes(StandardCharsets.UTF_8);"", ""byte[] b = {(byte) 99, (byte)97, (byte)116};String s = new String(b, StandardCharsets.US_ASCII);""]",Fundamental Programming Structures in Java,"{""Strings"": 1.45}"
93091,93216,Why can't strings be mutable in Java and .NET?,Why is it that they decided to make String immutable in Java and .NET (and some other languages)? Why didn't they make it mutable?,[],<java><.net><string><mutable>,93216,"According to [Effective Java](""http://www.oracle.com/technetwork/java/effectivejava-136174.html""), chapter 4, page 73, 2nd edition:  ""There are many good reasons for this: Immutable classes are easier to  design, implement, and use than mutable classes. They are less prone  to error and are more secure.    [...]    ""Immutable objects are simple. An immutable object can be in  exactly one state, the state in which it was created. If you make sure  that all constructors establish class invariants, then it is  guaranteed that these invariants will remain true for all time, with  no effort on your part.    [...]    Immutable objects are inherently thread-safe; they require no synchronization. They cannot be corrupted by multiple threads  accessing them concurrently. This is far and away the easiest approach  to achieving thread safety. In fact, no thread can ever observe any  effect of another thread on an immutable object. Therefore,  immutable objects can be shared freely    [...]Other small points from the same chapter:  Not only can you share immutable objects, but you can share their internals.    [...]    Immutable objects make great building blocks for other objects, whether mutable or immutable.    [...]    The only real disadvantage of immutable classes is that they require a separate object for each distinct value.",[],Fundamental Programming Structures in Java,"{""Strings"": 1.9}"
95767,97176,How can I catch AWT thread exceptions in Java?,We'd like a trace in our application logs of these exceptions - by default Java just outputs them to the console.,[],<java><swing><exception-handling><awt>,97176,There is a distinction between uncaught exceptions in the EDT and outside the EDT.Another question has a solution for both but if you want just the EDT portion chewed up...--CODE--,"[""class AWTExceptionHandler {  public void handle(Throwable t) {    try {      // insert your exception handling code here      // or do nothing to make it go away    } catch (Throwable t) {      // don't let the exception get thrown out, will cause infinite looping!    }  }  public static void registerExceptionHandler() {    System.setProperty('sun.awt.exception.handler', AWTExceptionHandler.class.getName())  }}""]","Exceptions, Assertions, and Logging","{""Catching Exceptions"": 0.9}"
100707,100751,How much resources do sleeping and waiting threads consume,"I'm wondering, how expensive it is to have many threads in waiting state in java 1.6 x64.To be more specific, I'm writing application which runs across many computers and sends/receives data from one to another. I feel more comfortable to have separate thread for each connected machine and task, like 1) sending data, 2) receiving data, 3) reestablishing connection when it is dropped. So, given that there are N nodes in cluster, each machine is going to have 3 threads for each of N-1 neighbours. Typically there will be 12 machines, which comes to 33 communication threads.Most of those threads will be sleeping most of the time, so for optimization purposes I could reduce number of threads and give more job to each of them. Like, for example. reestablishing connection is responsibility of receiving thread. Or sending to all connected machines is done by single thread.So is there any significant perfomance impact on having many sleeping threads?",[],<java><multithreading><sleep><wait>,100751,"For most cases, the resources consumed by a sleeping thread will be its stack space. Using a 2-threads-per-connection-model, which I think is similar to what you're describing, is known to cause great scalability issues for this very reason when the number of connections grow large.I've been in this situation myself, and when the number of connections grew above 500 connections (about a thousand threads), you tend to get into lots of cases where you get OutOfMemoryError, since the threads stack space usage exceeds the maximum amount of memory for a single process. At least in our case, which was in a Java on 32 bit Windows world. You can tune things and get a bit further, I guess, but in the end it's just not very scalable since you waste lots of memory.If you need a large number of connections, Java NIO (new IO or whatever) is the way to go, making it possible to handle lots of connections in the same thread.Having said that, you shouldn't encounter much of a problem with under a 100 threads on a reasonably modern server, even if it's probably still a waste of resources.",[],Concurrency,"{""Thread Properties"": 0.75, ""Thread States"": 0.65}"
104184,41990379,Is it safe to get values from a java.util.HashMap from multiple threads (no modification)?,"There is a case where a map will be constructed, and once it is initialized, it will never be modified again.  It will however, be accessed (via get(key) only) from multiple threads.  Is it safe to use a java.util.HashMap in this way?(Currently, I'm happily using a java.util.concurrent.ConcurrentHashMap, and have no measured need to improve performance, but am simply curious if a simple HashMap would suffice.  Hence, this question is not ""Which one should I use?"" nor is it a performance question.  Rather, the question is ""Would it be safe?"")",[],<java><multithreading><concurrency><hashmap>,41990379,"Your idiom is safe if and only if the reference to the HashMap is safely published. Rather than anything relating the internals of HashMap itself, safe publication deals with how the constructing thread makes the reference to the map visible to other threads.Basically, the only possible race here is between the construction of the HashMap and any reading threads that may access it before it is fully constructed. Most of the discussion is about what happens to the state of the map object, but this is irrelevant since you never modify it - so the only interesting part is how the HashMap reference is published. For example, imagine you publish the map like this:--CODE--... and at some point setMap() is called with a map, and other threads are using SomeClass.MAP to access the map, and check for null like this:--CODE--This is not safe even though it probably appears as though it is. The problem is that there is no [happens-before](""https://docs.oracle.com/javase/tutorial/essential/concurrency/memconsist.html"") relationship between the set of SomeObject.MAP and the subsequent read on another thread, so the reading thread is free to see a partially constructed map. This can pretty much do anything and even in practice it does things like [put the reading thread into an infinite loop](""http://mailinator.blogspot.com/2009/06/beautiful-race-condition.html"").To safely publish the map, you need to establish a happens-before relationship between the writing of the reference to the HashMap (i.e., the publication) and the subsequent readers of that reference (i.e., the consumption). Conveniently, there are only a few easy-to-remember ways to [[1]:Exchange the reference through a properly locked field (JLS 17.4.5](""https://stackoverflow.com/q/5458848/149138"">accomplish))Use static initializer to do the initializing stores ([JLS 12.4](""http://docs.oracle.com/javase/specs/jls/se8/html/jls-12.html#jls-12.4""))Exchange the reference via a volatile field ([JLS 17.4.5](""http://docs.oracle.com/javase/specs/jls/se8/html/jls-17.html#jls-17.4.5"")), or as the consequence of this rule, via the AtomicX classesInitialize the value into a final field ([JLS 17.5](""http://docs.oracle.com/javase/specs/jls/se8/html/jls-17.html#jls-17.5"")).The ones most interesting for your scenario are (2), (3) and (4). In particular, (3) applies directly to the code I have above: if you transform the declaration of MAP to:--CODE--then everything is kosher: readers who see a non-null value necessarily have a happens-before relationship with the store to MAP and hence see all the stores associated with the map initialization.The other methods change the semantics of your method, since both (2) (using the static initalizer) and (4) (using final) imply that you cannot set MAP dynamically at runtime. If you don't need to do that, then just declare MAP as a static final HashMap and you are guaranteed safe publication.In practice, the rules are simple for safe access to ""never-modified objects"":If you are publishing an object which is not inherently immutable (as in all fields declared final) and:You already can create the object that will be assigned at the moment of declarationa: just use a final field (including static final for static members).You want to assign the object later, after the reference is already visible: use a volatile fieldb.That's it!In practice, it is very efficient. The use of a static final field, for example, allows the JVM to assume the value is unchanged for the life of the program and optimize it heavily. The use of a final member field allows most architectures to read the field in a way equivalent to a normal field read and doesn't inhibit further optimizationsc. Finally, the use of volatile does have some impact: no hardware barrier is needed on many architectures (such as x86, specifically those that don't allow reads to pass reads), but some optimization and reordering may not occur at compile time - but this effect is generally small. In exchange, you actually get more than what you asked for - not only can you safely publish one HashMap, you can store as many more not-modified HashMaps as you want to the same reference and be assured that all readers will see a safely published map.For more gory details, refer to [Shipilev](""https://shipilev.net/blog/2014/safe-public-construction/"") or [this FAQ by Manson and Goetz](""https://www.cs.umd.edu/~pugh/java/memoryModel/jsr-133-faq.html#finalRight"").[1] Directly quoting from [shipilev](""https://shipilev.net/blog/2014/safe-public-construction/"").a That sounds complicated, but what I mean is that you can assign the reference at construction time - either at the declaration point or in the constructor (member fields) or static initializer (static fields).b Optionally, you can use a synchronized method to get/set, or an AtomicReference or something, but we're talking about the minimum work you can do.c Some architectures with very weak memory models (I'm looking at you, Alpha) may require some type of read barrier before a final read - but these are very rare today.","[""class SomeClass {   public static HashMap<Object, Object> MAP;   public synchronized static setMap(HashMap<Object, Object> m) {     MAP = m;   }}"", ""HashMap<Object,Object> map = SomeClass.MAP;if (map != null) {  .. use the map} else {  .. some default behavior}"", ""public static volatile HashMap<Object, Object> MAP;""]",Concurrency,"{""Thread-Safe Collections"": 1.6, ""Synchronization"": 0.75}"
104373,453629,Mac OS X Java Swing Buttons are Disabled for no aparent reason,I wrote an application in Java and when it runs on one customer's computer running OS X The Save and Export buttons are disabled. (Everything else works in the application.)Both of these buttons open up a standard save file dialog.Any ideas?,[],<java><macos><swing><button>,453629,This was caused by misinformation recieved from the customer.Turns out the customer was trying to save to a location where files can't be saved on his/her hard drive.,[],User Interface Components with Swing,"{""Choice Components"": 0.9, ""Swing and the Model-View-Controller Design Pattern"": 0.6}"
104599,104709,Sort on a string that may contain a number,"I need to write a Java Comparator class that compares Strings, however with one twist.  If the two strings it is comparing are the same at the beginning and end of the string are the same, and the middle part that differs is an integer, then compare based on the numeric values of those integers.  For example, I want the following strings to end up in order they're shown:aaabbb 3 cccbbb 12 cccccc 11dddeee 3 ddd jpeg2000 eeeeee 12 ddd jpeg2000 eeeAs you can see, there might be other integers in the string, so I can't just use regular expressions to break out any integer.  I'm thinking of just walking the strings from the beginning until I find a bit that doesn't match, then walking in from the end until I find a bit that doesn't match, and then comparing the bit in the middle to the regular expression ""[0-9]+"", and if it compares, then doing a numeric comparison, otherwise doing a lexical comparison.Is there a better way?Update I don't think I can guarantee that the other numbers in the string, the ones that may match, don't have spaces around them, or that the ones that differ do have spaces.",[],<java><algorithm><string><sorting><comparison>,104709,"[The Alphanum Algorithm](""http://www.davekoelle.com/alphanum.html"")From the website""People sort strings with numbers differently than software. Most sorting algorithms compare ASCII values, which produces an ordering that is inconsistent with human logic. Here's how to fix it.""Edit: Here's a link to the [Java Comparator Implementation](""http://www.davekoelle.com/files/AlphanumComparator.java"") from that site.",[],Fundamental Programming Structures in Java,"{""Strings"": 1.55}"
110016,110042,Multiple column sort in JTable,I know that JTable can sort by a single column. But is it possible to allow for multiple column sort or do I need to write the code myself?,[],<java><swing><jtable>,110042,"You can sort by multiple columns by specifying more than one sort key when calling setSortKeys in the [RowSorter](""http://java.sun.com/javase/6/docs/api/javax/swing/RowSorter.html"") you're using.",[],User Interface Components with Swing,"{""Choice Components"": 0.6}"
116957,122082,Which Layout Manager do you use?,"What java GUI layout manager does everyone use?  Lately, I have been using [MigLayout](""http://www.miglayout.com/""), which has some powerful component controls.  Just wanted to see what other developers are using other than the standard JDK ones.",[],<java><swing><layout>,122082,"[MiGLayout](""http://www.miglayout.com/"") is the GUI layout manager which is widely used by Java Developers.",[],User Interface Components with Swing,"{""Introduction to Layout Management"": 1.6, ""Sophisticated Layout Management"": 0.8}"
117690,117711,Wait until any of Future<T> is done,"I have few asynchronous tasks running and I need to wait until at least one of them is finished (in the future probably I'll need to wait util M out of N tasks are finished).Currently they are presented as Future, so I need something like--CODE--Is there anything like this? Or anything similar, not necessary for Future. Currently I loop through collection of futures, check if one is finished, then sleep for some time and check again. This looks like not the best solution, because if I sleep for long period then unwanted delay is added, if I sleep for short period then it can affect performance.I could try using --CODE--and decrease countdown when task is complete and do --CODE--, but I found it possible only if I control Future creation. It is possible, but requires system redesign, because currently logic of tasks creation (sending Callable to ExecutorService) is separated from decision to wait for which Future. I could also override --CODE--and create custom implementation of RunnableFuture with ability to attach listener to be notified when task is finished, then attach such listener to needed tasks and use CountDownLatch, but that means I have to override newTaskFor for every ExecutorService I use - and potentially there will be implementation which do not extend AbstractExecutorService. I could also try wrapping given ExecutorService for same purpose, but then I have to decorate all methods producing Futures.All these solutions may work but seem very unnatural. It looks like I'm missing something simple, like --CODE--in c#. Are there any well known solutions for such kind of problem?UPDATE:Originally I did not have access to Future creation at all, so there were no elegant solution. After redesigning system I got access to Future creation and was able to add countDownLatch.countdown() to execution process, then I can countDownLatch.await() and everything works fine.Thanks for other answers, I did not know about ExecutorCompletionService and it indeed can be helpful in similar tasks, but in this particular case it could not be used because some Futures are created without any executor - actual task is sent to another server via network, completes remotely and completion notification is received.","[""/** * Blocks current thread until one of specified futures is done and returns it.  */public static <T> Future<T> waitForAny(Collection<Future<T>> futures)         throws AllFuturesFailedException"", ""new CountDownLatch(1)"", ""countdown.await()"", ""<T> RunnableFuture<T> AbstractExecutorService.newTaskFor(Callable<T> callable)"", ""WaitHandle.WaitAny(WaitHandle[] waitHandles)""]",<java><multithreading><concurrency>,117711,"As far as I know, Java has no analogous structure to the WaitHandle.WaitAny method.It seems to me that this could be achieved through a ""WaitableFuture"" decorator:--CODE--Though this would only work if it can be inserted before the execution code, since otherwise the execution code would not have the new doTask() method. But I really see no way of doing this without polling if you cannot somehow gain control of the Future object before execution.Or if the future always runs in its own thread, and you can somehow get that thread. Then you could spawn a new thread to join each other thread, then handle the waiting mechanism after the join returns... This would be really ugly and would induce a lot of overhead though. And if some Future objects don't finish, you could have a lot of blocked threads depending on dead threads. If you're not careful, this could leak memory and system resources.--CODE--","[""public WaitableFuture<T>    extends Future<T>{    private CountDownLatch countDownLatch;    WaitableFuture(CountDownLatch countDownLatch)    {        super();        this.countDownLatch = countDownLatch;    }    void doTask()    {        super.doTask();        this.countDownLatch.countDown();    }}"", ""/** * Extremely ugly way of implementing WaitHandle.WaitAny for Thread.Join(). */public static joinAny(Collection<Thread> threads, int numberToWaitFor){    CountDownLatch countDownLatch = new CountDownLatch(numberToWaitFor);    foreach(Thread thread in threads)    {        (new Thread(new JoinThreadHelper(thread, countDownLatch))).start();    }    countDownLatch.await();}class JoinThreadHelper    implements Runnable{    Thread thread;    CountDownLatch countDownLatch;    JoinThreadHelper(Thread thread, CountDownLatch countDownLatch)    {        this.thread = thread;        this.countDownLatch = countDownLatch;    }    void run()    {        this.thread.join();        this.countDownLatch.countDown();    }}""]",Concurrency,"{""Tasks and Thread Pools"": 1.55, ""Asynchronous Computations"": 0.7}"
121715,121777,Dynamically added JTable not displaying,"Java Newbie here. I have a JFrame that I added to my netbeans project, and I've added the following method to it, which creates a JTable. Problem is, for some reason when I call this method, the JTable isn't displayed. Any suggestions?--CODE--The method is called in the following context:--CODE--... where DBReader.outMatchesTable() is defined as--CODE--My guess is I'm overlooking something, either about the swing classes I'm using, or about Java. Any ideas?","[""public void showFromVectors(Vector colNames, Vector data) {         jt = new javax.swing.JTable(data, colNames);    sp = new javax.swing.JScrollPane(jt);    //NB: \""this\"" refers to my class DBGridForm, which extends JFrame    this.add(sp,java.awt.BorderLayout.CENTER);    this.setSize(640,480);}"", ""DBGridForm gf = new DBGridForm(); //DBGridForm extends JFrameDBReader.outMatchesTable(gf);gf.setVisible(true);"", ""static public void outMatchesTable(DBGridForm gf) {    DBReader ddb = new DBReader();    ddb.readMatchesTable(null);    gf.showFromVectors(ddb.lastRsltColNames, ddb.lastRsltData);}""]",<java><swing><netbeans><jtable>,121777,"""this"" in your context is unclear. Is it inside an applet? a JFrame?You may be having a layout issue, make sure you've called setLayout on your class with a new borderlayout.In a swing application, you'd want to use getRootContentPane().add() instead of a raw add(), depending on the version.Java tutorial on adding top-level content: [http://java.sun.com/docs/books/tutorial/uiswing/components/toplevel.html](""http://java.sun.com/docs/books/tutorial/uiswing/components/toplevel.html"")",[],Graphical User Interface Programming,"{""Displaying Information in a Component"": 1.4}"
121762,121853,Sleep a thread until an event is attended in another thread,"I have two threads in an Android application, one is the view thread, and the other is the worker thread. What I want to do is, sleep the worker thread until the view thread terminates the handling of the onDraw method.How i can do this? is there any wait for the signal or something?",[],<java><android><multithreading>,121853,"Share a java.lang.Object between the two threads, whose sole purpose is to tell the worker thread when it can continue its work.  Whenever the worker thread reaches a point where it should sleep, it does this:--CODE--When the view thread finishes its onDraw work, it calls this:--CODE--Note the requirement that the view thread owns the monitor on the object.  In your case, this should be fairly simple to enforce with a small sync block:--CODE--Consult the javadoc for java.lang.Object on these methods (and notifyAll, just in case); they're very well written.  ","[""stick.wait();"", ""stick.notify();"", ""void onDraw() {  ...  synchronized (stick) {    stick.notify();  }} // end onDraw()""]",Concurrency,"{""Tasks and Thread Pools"": 0.85, ""Synchronization"": 0.8}"
128016,128040,"Java, Swing: how do I set the maximum width of a JTextField?","I'm writing a custom file selection component. In my UI, first the user clicks a button, which pops a JFileChooser; when it is closed, the absolute path of the selected file is written to a JTextField.The problem is, absolute paths are usually long, which causes the text field to enlarge, making its container too wide.I've tried this, but it didn't do anything, the text field is still too wide:--CODE--Currently, when it is empty, it is already 400px long, because of GridBagConstraints attached to it.I'd like it to be like text fields in HTML pages, which have a fixed size and do not enlarge when the input is too long.So, how do I set the max size for a JTextField ?","[""fileNameTextField.setMaximumSize(new java.awt.Dimension(450, 2147483647));""]",<java><swing><jtextfield>,128040,"It may depend on the layout manager your text field is in.  Some layout managers expand and some do not.  Some expand only in some cases, others always.  I'm assuming you're doing--CODE--If so, for most reasonable layouts, the field should not change size (at least, it shouldn't grow).  Often layout managers behave badly when put into JScrollPanes.In my experience, trying to control the sizes via setMaximumSize and setPreferredWidth and so on are precarious at best.  Swing decided on its own with the layout manager and there's little you can do about it.All that being said, I have no had the problem you are experiencing, which leads me to believe that some judicious use of a layout manager will solve the problem.","[""filedNameTextField = new JTextField(80); // 80 == columns""]",User Interface Components with Swing,"{""Text Input"": 1.8}"
130506,131524,How many threads should I use in my Java program?,"I recently inherited a small Java program that takes information from a large database, does some processing and produces a detailed image regarding the information. The original author wrote the code using a single thread, then later modified it to allow it to use multiple threads. In the code he defines a constant;--CODE--Which then sets the number of threads that are used to create the image.I understand his reasoning that the number of threads cannot be greater than the number of available processors, so set it the the amount to get the full potential out of the processor(s). Is this correct? or is there a better way to utilize the full potential of the processor(s)?EDIT: To give some more clarification, The specific algorithm that is being threaded scales to the resolution of the picture being created, (1 thread per pixel). That is obviously not the best solution though. The work that this algorithm does is what takes all the time, and is wholly mathematical operations, there are no locks or other factors that will cause any given thread to sleep. I just want to maximize the programs CPU utilization to decrease the time to completion.","[""//  number of threadspublic static final int THREADS =  Runtime.getRuntime().availableProcessors();""]",<java><multithreading>,131524,"Threads are fine, but as others have noted, you have to be highly aware of your bottlenecks.  Your algorithm sounds like it would be susceptible to cache contention between multiple CPUs - this is particularly nasty because it has the potential to hit the performance of all of your threads (normally you think of using multiple threads to continue processing while waiting for slow or high latency IO operations).Cache contention is a very important aspect of using multi CPUs to process a highly parallelized algorithm:  Make sure that you take your memory utilization into account.  If you can construct your data objects so each thread has it's own memory that it is working on, you can greatly reduce cache contention between the CPUs.  For example, it may be easier to have a big array of ints and have different threads working on different parts of that array - but in Java, the bounds checks on that array are going to be trying to access the same address in memory, which can cause a given CPU to have to reload data from L2 or L3 cache.Splitting the data into it's own data structures, and configure those data structures so they are thread local (might even be more optimal to use [ThreadLocal](""http://java.sun.com/j2se/1.4.2/docs/api/java/lang/ThreadLocal.html"") - that actually uses constructs in the OS that provide guarantees that the CPU can use to optimize cache.The best piece of advice I can give you is test, test, test.  Don't make assumptions about how CPUs will perform - there is a huge amount of magic going on in CPUs these days, often with counterintuitive results.  Note also that the JIT runtime optimization will add an additional layer of complexity here (maybe good, maybe not). ",[],Concurrency,"{""Thread Properties"": 1.0, ""Tasks and Thread Pools"": 0.7, ""Synchronization"": 0.65}"
138533,138767,"Java Swing: Ctrl+F1 does not work globally, but each other key combination","I have a swing gui with a tabbed pane in the north. Several key events are added to its input map:--CODE--If the tabbed pane or another button in a toolbar has the focus, Ctrl+F1 has no function. If another component is focused (e.g. JTree), Ctrl+F1 executes the action.The problem is, that it workes everywhere if I change the Keycode to e.g. VK_F2.The key F1 is'nt used anywhere else in the program.Any idea?Thanks,AndréEdit: A full text search in the java source code gave the answer: The ToolTipManager registeres the Key Ctrl+F1 to display the tooltip text if the key combination is pressed. So if a button with a tooltip is focused, Ctrl+F1 is handled by the ToolTipManager. Otherwise my action is called.","[""InputMap paneInputMap = pane.getInputMap(JComponent.WHEN_ANCESTOR_OF_FOCUSED_COMPONENT);paneInputMap.put( KeyStroke.getKeyStroke( KeyEvent.VK_E, KeyEvent.CTRL_MASK ), \""finish\"");paneInputMap.put( KeyStroke.getKeyStroke( KeyEvent.VK_F1, KeyEvent.CTRL_MASK ), \""toggletoolbar\"");""]",<java><swing><keyevent>,138767,"So that this gets an answer, here's the solution copied from your edit in the question. ;-)  The ToolTipManager registeres the Key  Ctrl+F1 to display the tooltip text if  the key combination is pressed. So if  a button with a tooltip is focused,  Ctrl+F1 is handled by the  ToolTipManager. Otherwise my action is  called.",[],Graphical User Interface Programming,"{""Event Handling"": 1.45}"
138793,138922,How do I add a separator to a JComboBox in Java?,"I have a JComboBox and would like to have a separator in the list of elements. How do I do this in Java?A sample scenario where this would come in handy is when making a combobox for font-family-selection; similar to the font-family-selection-control in Word and Excel. In this case I would like to show the most-used-fonts at the top, then a separator and finally all font-families below the separator in alphabetical order.Can anyone help me with how to do this or is this not possible in Java?",[],<java><swing><jcombobox><jseparator>,138922,"There is a pretty short tutorial with an example that shows how to use a custom ListCellRenderer on java2s [http://www.java2s.com/Code/Java/Swing-Components/BlockComboBoxExample.htm](""http://www.java2s.com/Code/Java/Swing-Components/BlockComboBoxExample.htm"")Basically it involves inserting a known placeholder in your list model and when you detect the placeholder in the ListCellRenderer you return an instance of 'new JSeparator(JSeparator.HORIZONTAL)'",[],User Interface Components with Swing,"{""Choice Components"": 1.7000000000000002}"
139088,144142,JFrame.setDefaultLookAndFeelDecorated(true);,when i use setDefaultLookAndFeelDecorated(true) method in Javawhy is the Frame appear FullScreen when i maximize the Frame ?and how can i disaple the FullScreen mode in this method ?,[],<java><user-interface><swing>,144142,"Setting setDefaultLookAndFeelDecorated to true causes the decorations to be handled by the look and feel; this means that a System look-and-feel on both Windows and Mac (I have no Linux at hand now) retains the borders you would expect them of a native window, e.g. staying clear of the taskbar in Windows.When using the Cross Platform look-and-feel, a.k.a. Metal, which is the default on Windows, the Windows version will take over the entire screen, making it look like a full-screen window. On Mac, the OS refuses to give away its own titlebar, and draws a complete Metal frame (including the title bar) in a Mac-native window.So, in short, if you want to make sure the taskbar gets respected, use the Windows system look-and-feel on Windows. You can set it by using something like--CODE--","[""UIManager.setLookAndFeel((LookAndFeel) Class.forName(UIManager.getCrossPlatformLookAndFeelClassName()).newInstance());""]",Graphical User Interface Programming,"{""Displaying Information in a Component"": 0.85, ""Displaying Frames"": 0.8}"
141284,141303,The difference between the Runnable and Callable interfaces in Java,"What is the difference between using the Runnable and Callable interfaces when designing a concurrent thread in Java, why would you choose one over the other?",[],<java><multithreading><interface><runnable><callable>,141303,"See explanation [here](""http://docs.oracle.com/javase/7/docs/api/java/util/concurrent/Callable.html"").  The Callable interface is similar to  Runnable, in that both are designed  for classes whose instances are  potentially executed by another  thread. A Runnable, however, does not  return a result and cannot throw a  checked exception.",[],Concurrency,"{""Tasks and Thread Pools"": 0.9}"
144892,144893,How to center a Window in Java?,"What's the easiest way to centre a java.awt.Window, such as a JFrame or a JDialog?",[],<java><swing><user-interface><awt>,144893,"From [this link](""https://web.archive.org/web/20080921040824/http://blog.codebeach.com/2008/02/center-dialog-box-frame-or-window-in.html"")  If you are using Java 1.4 or newer,  you can use the simple method  setLocationRelativeTo(null) on the  dialog box, frame, or window to center  it.",[],User Interface Components with Swing,"{""Introduction to Layout Management"": 0.6, ""Dialog Boxes"": 0.5, ""Sophisticated Layout Management"": 0.8}"
