382,384,What is the meaning of the type safety warning in certain Java generics casts?,"What is the meaning of the Java warning?  Type safety: The cast from Object to List is actually checking against the erased type ListI get this warning when I try to cast an Object to a type with generic information, such as in the following code:--CODE--","[""Object object = getMyList();List<Integer> list = (List<Integer>) object;""]",<java><generics><warnings><casting><type-safety>,384,"This warning is there because Java is not actually storing type information at run-time in an object that uses generics.  Thus, if object is actually a List, there will be no ClassCastException at run-time except until an item is accessed from the list that doesn't match the generic type defined in the variable.  This can cause further complications if items are added to the list, with this incorrect generic type information.  Any code still holding a reference to the list but with the correct generic type information will now have an inconsistent list.  To remove the warning, try:--CODE--However, note that you will not be able to use certain methods such as add because the compiler doesn't know if you are trying to add an object of incorrect type.  The above will work in a lot of situations, but if you have to use add, or some similarly restricted method, you will just have to suffer the yellow underline in Eclipse (or a SuppressWarning annotation).","[""List<?> list = (List<?>) object;""]",Generic Programming,"{""Restrictions and Limitations"": 1.35, ""Defining a Simple Generic Class"": 0.3, ""Generic Code and the Virtual Machine"": 0.7}"
54567,54799,How do I get InputVerifier to work with an editable JComboBox,I've got an JComboBox with a custom inputVerifyer set to limit MaxLength when it's set to editable.The verify method never seems to get called.The same verifyer gets invoked on a JTextField fine.What might I be doing wrong?,[],<java><swing><jcombobox>,54799,"I found a workaround. I thought I'd let the next person with this problem know about. Basically. Instead of setting the inputVerifier on the ComboBox you set it to it's ""Editor Component"". --CODE--","[""JComboBox combo = new JComboBox();JTextField tf = (JTextField)(combo.getEditor().getEditorComponent());tf.setInputVerifier(verifyer);""]",User Interface Components with Swing,"{""Choice Components"": 1.7000000000000002}"
54926,54927,Make a JPanel not draw its background (Transparent),"Is it possible, in Java, to make a JPanel skip drawing its background thus being transparent except for the components on it?",[],<java><user-interface>,54927,"setOpaque(false)It'll pass off painting the background to its parent, which may draw its own background.You can do a screen capture and then use that to paint the background of the panel.",[],Graphical User Interface Programming,"{""Displaying Information in a Component"": 1.55}"
56707,58166,Java Right Click does not make a selection. What is the easiest way to solve this globally?,Is there a way to globally make right click also select the element that you right click on?  From what I understand this has been a bug in Swing for a long time likely to never be fixed because at this point applications depend on it.  Any advice on doing this on a global scale?  Perhaps on the L&amp;F?,[],<java><swing>,58166,"Using the [Glass Pane](""http://java.sun.com/docs/books/tutorial/uiswing/components/rootpane.html"") will do the trick.[Here's a tutorial](""http://weblogs.java.net/blog/joshy/archive/2003/10/swing_hack_4_th.html"") on how to use the glass pane to get the right click button and redispatch it to the right component.As the glass pane is not a solution in this case, I suggest you take a look at the [Toolkit](""http://java.sun.com/javase/6/docs/api/java/awt/Toolkit.html"") class. Specificaly the addAWTEventListener method. You can add a global event listener with it. To add a mouse event listener:--CODE--Cheers","[""Toolkit.getDefaultToolkit().        addAWTEventListener(listener, AWTEvent.MOUSE_EVENT_MASK);""]",Graphical User Interface Programming,"{""Event Handling"": 1.8}"
58939,58963,JComboBox Selection Change Listener?,"I'm trying to get an event to fire whenever a choice is made from a JComboBox.The problem I'm having is that there is no obvious addSelectionListener() method.I've tried to use actionPerformed(), but it never fires.Short of overriding the model for the JComboBox, I'm out of ideas.How do I get notified of a selection change on a JComboBox?**Edit: I have to apologize. It turns out I was using a misbehaving subclass of JComboBox, but I'll leave the question up since your answer is good.",[],<java><swing><jcombobox><itemlistener>,58963,"It should respond to [ActionListeners](""http://docs.oracle.com/javase/7/docs/api/java/awt/event/ActionListener.html""), like this:--CODE--@John Calsbeek rightly points out that addItemListener() will work, too.  You may get 2 ItemEvents, though, one for the deselection of the previously selected item, and another for the selection of the new item. Just don't use both event types!","[""combo.addActionListener (new ActionListener () {    public void actionPerformed(ActionEvent e) {        doSomething();    }});""]",Graphical User Interface Programming,"{""Event Handling"": 1.8}"
60269,61982,How to implement draggable tab using Java Swing?,"How do I implement a draggable tab using Java Swing? Instead of the static JTabbedPane I would like to drag-and-drop a tab to different position to rearrange the tabs.EDIT: [The Java Tutorials - Drag and Drop and Data Transfer](""http://java.sun.com/docs/books/tutorial/uiswing/dnd/index.html"").",[],<java><user-interface><swing><tabs>,61982,"I liked [Terai Atsuhiro san's DnDTabbedPane](""http://java-swing-tips.blogspot.com/2008/04/drag-and-drop-tabs-in-jtabbedpane.html""), but I wanted more from it. The original Terai implementation transfered tabs within the TabbedPane, but it would be nicer if I could drag from one TabbedPane to another.Inspired by @Tom's effort, I decided to modify the code myself.There are some details I added. For example, the ghost tab now slides along the tabbed pane instead of moving together with the mouse.setAcceptor(TabAcceptor a_acceptor) should let the consumer code decide whether to let one tab transfer from one tabbed pane to another. The default acceptor always returns true.--CODE--","[""/** Modified DnDTabbedPane.java * http://java-swing-tips.blogspot.com/2008/04/drag-and-drop-tabs-in-jtabbedpane.html * originally written by Terai Atsuhiro. * so that tabs can be transfered from one pane to another. * eed3si9n. */import java.awt.*;import java.awt.datatransfer.*;import java.awt.dnd.*;import java.awt.geom.*;import java.awt.image.*;import javax.swing.*;public class DnDTabbedPane extends JTabbedPane {    public static final long serialVersionUID = 1L;    private static final int LINEWIDTH = 3;    private static final String NAME = \""TabTransferData\"";    private final DataFlavor FLAVOR = new DataFlavor(            DataFlavor.javaJVMLocalObjectMimeType, NAME);    private static GhostGlassPane s_glassPane = new GhostGlassPane();    private boolean m_isDrawRect = false;    private final Rectangle2D m_lineRect = new Rectangle2D.Double();    private final Color m_lineColor = new Color(0, 100, 255);    private TabAcceptor m_acceptor = null;    public DnDTabbedPane() {        super();        final DragSourceListener dsl = new DragSourceListener() {            public void dragEnter(DragSourceDragEvent e) {                e.getDragSourceContext().setCursor(DragSource.DefaultMoveDrop);            }            public void dragExit(DragSourceEvent e) {                e.getDragSourceContext()                        .setCursor(DragSource.DefaultMoveNoDrop);                m_lineRect.setRect(0, 0, 0, 0);                m_isDrawRect = false;                s_glassPane.setPoint(new Point(-1000, -1000));                s_glassPane.repaint();            }            public void dragOver(DragSourceDragEvent e) {                //e.getLocation()                //This method returns a Point indicating the cursor location in screen coordinates at the moment                TabTransferData data = getTabTransferData(e);                if (data == null) {                    e.getDragSourceContext().setCursor(                            DragSource.DefaultMoveNoDrop);                    return;                } // if                /*                Point tabPt = e.getLocation();                SwingUtilities.convertPointFromScreen(tabPt, DnDTabbedPane.this);                if (DnDTabbedPane.this.contains(tabPt)) {                    int targetIdx = getTargetTabIndex(tabPt);                    int sourceIndex = data.getTabIndex();                    if (getTabAreaBound().contains(tabPt)                            &amp;&amp; (targetIdx >= 0)                            &amp;&amp; (targetIdx != sourceIndex)                            &amp;&amp; (targetIdx != sourceIndex + 1)) {                        e.getDragSourceContext().setCursor(                                DragSource.DefaultMoveDrop);                        return;                    } // if                    e.getDragSourceContext().setCursor(                            DragSource.DefaultMoveNoDrop);                    return;                } // if                */                e.getDragSourceContext().setCursor(                        DragSource.DefaultMoveDrop);            }            public void dragDropEnd(DragSourceDropEvent e) {                m_isDrawRect = false;                m_lineRect.setRect(0, 0, 0, 0);                // m_dragTabIndex = -1;                if (hasGhost()) {                    s_glassPane.setVisible(false);                    s_glassPane.setImage(null);                }            }            public void dropActionChanged(DragSourceDragEvent e) {            }        };        final DragGestureListener dgl = new DragGestureListener() {            public void dragGestureRecognized(DragGestureEvent e) {                // System.out.println(\""dragGestureRecognized\"");                Point tabPt = e.getDragOrigin();                int dragTabIndex = indexAtLocation(tabPt.x, tabPt.y);                if (dragTabIndex < 0) {                    return;                } // if                initGlassPane(e.getComponent(), e.getDragOrigin(), dragTabIndex);                try {                    e.startDrag(DragSource.DefaultMoveDrop,                             new TabTransferable(DnDTabbedPane.this, dragTabIndex), dsl);                } catch (InvalidDnDOperationException idoe) {                    idoe.printStackTrace();                }            }        };        //dropTarget =        new DropTarget(this, DnDConstants.ACTION_COPY_OR_MOVE,                new CDropTargetListener(), true);        new DragSource().createDefaultDragGestureRecognizer(this,                DnDConstants.ACTION_COPY_OR_MOVE, dgl);        m_acceptor = new TabAcceptor() {            public boolean isDropAcceptable(DnDTabbedPane a_component, int a_index) {                return true;            }        };    }    public TabAcceptor getAcceptor() {        return m_acceptor;    }    public void setAcceptor(TabAcceptor a_value) {        m_acceptor = a_value;    }    private TabTransferData getTabTransferData(DropTargetDropEvent a_event) {               try {            TabTransferData data = (TabTransferData) a_event.getTransferable().getTransferData(FLAVOR);                         return data;        } catch (Exception e) {            e.printStackTrace();        }        return null;    }    private TabTransferData getTabTransferData(DropTargetDragEvent a_event) {        try {            TabTransferData data = (TabTransferData) a_event.getTransferable().getTransferData(FLAVOR);                         return data;        } catch (Exception e) {            e.printStackTrace();        }        return null;    }    private TabTransferData getTabTransferData(DragSourceDragEvent a_event) {        try {            TabTransferData data = (TabTransferData) a_event.getDragSourceContext()                .getTransferable().getTransferData(FLAVOR);                         return data;        } catch (Exception e) {            e.printStackTrace();        }        return null;            }    class TabTransferable implements Transferable {        private TabTransferData m_data = null;        public TabTransferable(DnDTabbedPane a_tabbedPane, int a_tabIndex) {            m_data = new TabTransferData(DnDTabbedPane.this, a_tabIndex);        }        public Object getTransferData(DataFlavor flavor) {            return m_data;            // return DnDTabbedPane.this;        }        public DataFlavor[] getTransferDataFlavors() {            DataFlavor[] f = new DataFlavor[1];            f[0] = FLAVOR;            return f;        }        public boolean isDataFlavorSupported(DataFlavor flavor) {            return flavor.getHumanPresentableName().equals(NAME);        }           }    class TabTransferData {        private DnDTabbedPane m_tabbedPane = null;        private int m_tabIndex = -1;        public TabTransferData() {        }        public TabTransferData(DnDTabbedPane a_tabbedPane, int a_tabIndex) {            m_tabbedPane = a_tabbedPane;            m_tabIndex = a_tabIndex;        }        public DnDTabbedPane getTabbedPane() {            return m_tabbedPane;        }        public void setTabbedPane(DnDTabbedPane pane) {            m_tabbedPane = pane;        }        public int getTabIndex() {            return m_tabIndex;        }        public void setTabIndex(int index) {            m_tabIndex = index;        }    }    private Point buildGhostLocation(Point a_location) {        Point retval = new Point(a_location);        switch (getTabPlacement()) {            case JTabbedPane.TOP: {                retval.y = 1;                retval.x -= s_glassPane.getGhostWidth() / 2;            } break;            case JTabbedPane.BOTTOM: {                retval.y = getHeight() - 1 - s_glassPane.getGhostHeight();                retval.x -= s_glassPane.getGhostWidth() / 2;            } break;            case JTabbedPane.LEFT: {                retval.x = 1;                retval.y -= s_glassPane.getGhostHeight() / 2;            } break;            case JTabbedPane.RIGHT: {                retval.x = getWidth() - 1 - s_glassPane.getGhostWidth();                retval.y -= s_glassPane.getGhostHeight() / 2;            } break;        } // switch        retval = SwingUtilities.convertPoint(DnDTabbedPane.this,                retval, s_glassPane);        return retval;    }    class CDropTargetListener implements DropTargetListener {        public void dragEnter(DropTargetDragEvent e) {            // System.out.println(\""DropTarget.dragEnter: \"" + DnDTabbedPane.this);            if (isDragAcceptable(e)) {                e.acceptDrag(e.getDropAction());            } else {                e.rejectDrag();            } // if        }        public void dragExit(DropTargetEvent e) {            // System.out.println(\""DropTarget.dragExit: \"" + DnDTabbedPane.this);            m_isDrawRect = false;        }        public void dropActionChanged(DropTargetDragEvent e) {        }        public void dragOver(final DropTargetDragEvent e) {            TabTransferData data = getTabTransferData(e);            if (getTabPlacement() == JTabbedPane.TOP                    || getTabPlacement() == JTabbedPane.BOTTOM) {                initTargetLeftRightLine(getTargetTabIndex(e.getLocation()), data);            } else {                initTargetTopBottomLine(getTargetTabIndex(e.getLocation()), data);            } // if-else            repaint();            if (hasGhost()) {                s_glassPane.setPoint(buildGhostLocation(e.getLocation()));                s_glassPane.repaint();            }        }        public void drop(DropTargetDropEvent a_event) {            // System.out.println(\""DropTarget.drop: \"" + DnDTabbedPane.this);            if (isDropAcceptable(a_event)) {                convertTab(getTabTransferData(a_event),                    getTargetTabIndex(a_event.getLocation()));                a_event.dropComplete(true);            } else {                a_event.dropComplete(false);            } // if-else            m_isDrawRect = false;            repaint();        }        public boolean isDragAcceptable(DropTargetDragEvent e) {            Transferable t = e.getTransferable();            if (t == null) {                return false;            } // if            DataFlavor[] flavor = e.getCurrentDataFlavors();            if (!t.isDataFlavorSupported(flavor[0])) {                return false;            } // if            TabTransferData data = getTabTransferData(e);            if (DnDTabbedPane.this == data.getTabbedPane()                    &amp;&amp; data.getTabIndex() >= 0) {                return true;            } // if            if (DnDTabbedPane.this != data.getTabbedPane()) {                if (m_acceptor != null) {                    return m_acceptor.isDropAcceptable(data.getTabbedPane(), data.getTabIndex());                } // if            } // if            return false;        }        public boolean isDropAcceptable(DropTargetDropEvent e) {            Transferable t = e.getTransferable();            if (t == null) {                return false;            } // if            DataFlavor[] flavor = e.getCurrentDataFlavors();            if (!t.isDataFlavorSupported(flavor[0])) {                return false;            } // if            TabTransferData data = getTabTransferData(e);            if (DnDTabbedPane.this == data.getTabbedPane()                    &amp;&amp; data.getTabIndex() >= 0) {                return true;            } // if            if (DnDTabbedPane.this != data.getTabbedPane()) {                if (m_acceptor != null) {                    return m_acceptor.isDropAcceptable(data.getTabbedPane(), data.getTabIndex());                } // if            } // if            return false;        }    }    private boolean m_hasGhost = true;    public void setPaintGhost(boolean flag) {        m_hasGhost = flag;    }    public boolean hasGhost() {        return m_hasGhost;    }    /**     * returns potential index for drop.     * @param a_point point given in the drop site component's coordinate     * @return returns potential index for drop.     */    private int getTargetTabIndex(Point a_point) {        boolean isTopOrBottom = getTabPlacement() == JTabbedPane.TOP                || getTabPlacement() == JTabbedPane.BOTTOM;        // if the pane is empty, the target index is always zero.        if (getTabCount() == 0) {            return 0;        } // if        for (int i = 0; i < getTabCount(); i++) {            Rectangle r = getBoundsAt(i);            if (isTopOrBottom) {                r.setRect(r.x - r.width / 2, r.y, r.width, r.height);            } else {                r.setRect(r.x, r.y - r.height / 2, r.width, r.height);            } // if-else            if (r.contains(a_point)) {                return i;            } // if        } // for        Rectangle r = getBoundsAt(getTabCount() - 1);        if (isTopOrBottom) {            int x = r.x + r.width / 2;            r.setRect(x, r.y, getWidth() - x, r.height);        } else {            int y = r.y + r.height / 2;            r.setRect(r.x, y, r.width, getHeight() - y);        } // if-else        return r.contains(a_point) ? getTabCount() : -1;    }    private void convertTab(TabTransferData a_data, int a_targetIndex) {        DnDTabbedPane source = a_data.getTabbedPane();        int sourceIndex = a_data.getTabIndex();        if (sourceIndex < 0) {            return;        } // if        Component cmp = source.getComponentAt(sourceIndex);        String str = source.getTitleAt(sourceIndex);        if (this != source) {            source.remove(sourceIndex);            if (a_targetIndex == getTabCount()) {                addTab(str, cmp);            } else {                if (a_targetIndex < 0) {                    a_targetIndex = 0;                } // if                insertTab(str, null, cmp, null, a_targetIndex);            } // if            setSelectedComponent(cmp);            // System.out.println(\""press=\""+sourceIndex+\"" next=\""+a_targetIndex);            return;        } // if        if (a_targetIndex < 0 || sourceIndex == a_targetIndex) {            //System.out.println(\""press=\""+prev+\"" next=\""+next);            return;        } // if        if (a_targetIndex == getTabCount()) {            //System.out.println(\""last: press=\""+prev+\"" next=\""+next);            source.remove(sourceIndex);            addTab(str, cmp);            setSelectedIndex(getTabCount() - 1);        } else if (sourceIndex > a_targetIndex) {            //System.out.println(\""   >: press=\""+prev+\"" next=\""+next);            source.remove(sourceIndex);            insertTab(str, null, cmp, null, a_targetIndex);            setSelectedIndex(a_targetIndex);        } else {            //System.out.println(\""   <: press=\""+prev+\"" next=\""+next);            source.remove(sourceIndex);            insertTab(str, null, cmp, null, a_targetIndex - 1);            setSelectedIndex(a_targetIndex - 1);        }    }    private void initTargetLeftRightLine(int next, TabTransferData a_data) {                if (next < 0) {            m_lineRect.setRect(0, 0, 0, 0);            m_isDrawRect = false;            return;        } // if        if ((a_data.getTabbedPane() == this)                &amp;&amp; (a_data.getTabIndex() == next                || next - a_data.getTabIndex() == 1)) {            m_lineRect.setRect(0, 0, 0, 0);            m_isDrawRect = false;        } else if (getTabCount() == 0) {            m_lineRect.setRect(0, 0, 0, 0);            m_isDrawRect = false;            return;        } else if (next == 0) {            Rectangle rect = getBoundsAt(0);            m_lineRect.setRect(-LINEWIDTH / 2, rect.y, LINEWIDTH, rect.height);            m_isDrawRect = true;        } else if (next == getTabCount()) {            Rectangle rect = getBoundsAt(getTabCount() - 1);            m_lineRect.setRect(rect.x + rect.width - LINEWIDTH / 2, rect.y,                    LINEWIDTH, rect.height);            m_isDrawRect = true;        } else {            Rectangle rect = getBoundsAt(next - 1);            m_lineRect.setRect(rect.x + rect.width - LINEWIDTH / 2, rect.y,                    LINEWIDTH, rect.height);            m_isDrawRect = true;        }    }    private void initTargetTopBottomLine(int next, TabTransferData a_data) {        if (next < 0) {            m_lineRect.setRect(0, 0, 0, 0);            m_isDrawRect = false;            return;        } // if        if ((a_data.getTabbedPane() == this)                &amp;&amp; (a_data.getTabIndex() == next                || next - a_data.getTabIndex() == 1)) {            m_lineRect.setRect(0, 0, 0, 0);            m_isDrawRect = false;        } else if (getTabCount() == 0) {            m_lineRect.setRect(0, 0, 0, 0);            m_isDrawRect = false;            return;        } else if (next == getTabCount()) {            Rectangle rect = getBoundsAt(getTabCount() - 1);            m_lineRect.setRect(rect.x, rect.y + rect.height - LINEWIDTH / 2,                    rect.width, LINEWIDTH);            m_isDrawRect = true;        } else if (next == 0) {            Rectangle rect = getBoundsAt(0);            m_lineRect.setRect(rect.x, -LINEWIDTH / 2, rect.width, LINEWIDTH);            m_isDrawRect = true;        } else {            Rectangle rect = getBoundsAt(next - 1);            m_lineRect.setRect(rect.x, rect.y + rect.height - LINEWIDTH / 2,                    rect.width, LINEWIDTH);            m_isDrawRect = true;        }    }    private void initGlassPane(Component c, Point tabPt, int a_tabIndex) {        //Point p = (Point) pt.clone();        getRootPane().setGlassPane(s_glassPane);        if (hasGhost()) {            Rectangle rect = getBoundsAt(a_tabIndex);            BufferedImage image = new BufferedImage(c.getWidth(),                    c.getHeight(), BufferedImage.TYPE_INT_ARGB);            Graphics g = image.getGraphics();            c.paint(g);            image = image.getSubimage(rect.x, rect.y, rect.width, rect.height);            s_glassPane.setImage(image);                    } // if        s_glassPane.setPoint(buildGhostLocation(tabPt));        s_glassPane.setVisible(true);    }    private Rectangle getTabAreaBound() {        Rectangle lastTab = getUI().getTabBounds(this, getTabCount() - 1);        return new Rectangle(0, 0, getWidth(), lastTab.y + lastTab.height);    }    public void paintComponent(Graphics g) {        super.paintComponent(g);        if (m_isDrawRect) {            Graphics2D g2 = (Graphics2D) g;            g2.setPaint(m_lineColor);            g2.fill(m_lineRect);        } // if    }    public interface TabAcceptor {        boolean isDropAcceptable(DnDTabbedPane a_component, int a_index);    }}class GhostGlassPane extends JPanel {    public static final long serialVersionUID = 1L;    private final AlphaComposite m_composite;    private Point m_location = new Point(0, 0);    private BufferedImage m_draggingGhost = null;    public GhostGlassPane() {        setOpaque(false);        m_composite = AlphaComposite.getInstance(AlphaComposite.SRC_OVER, 0.7f);    }    public void setImage(BufferedImage draggingGhost) {        m_draggingGhost = draggingGhost;    }    public void setPoint(Point a_location) {        m_location.x = a_location.x;        m_location.y = a_location.y;    }    public int getGhostWidth() {        if (m_draggingGhost == null) {            return 0;        } // if        return m_draggingGhost.getWidth(this);    }    public int getGhostHeight() {        if (m_draggingGhost == null) {            return 0;        } // if        return m_draggingGhost.getHeight(this);    }    public void paintComponent(Graphics g) {        if (m_draggingGhost == null) {            return;        } // if         Graphics2D g2 = (Graphics2D) g;        g2.setComposite(m_composite);        g2.drawImage(m_draggingGhost, (int) m_location.getX(), (int) m_location.getY(), null);    }}""]",Graphical User Interface Programming,"{""Event Handling"": 1.6}"
64000,64183,Draining Standard Error in Java,"When launching a process from Java, both stderr and stdout can block on output if I don't read from the pipes.  Currently I have a thread that pro-actively reads from one and the main thread blocks on the other.Is there an easy way to join the two streams or otherwise cause the subprocess to continue while not losing the data in stderr? ",[],<java><multithreading><process-management>,64183,"Set the redirectErrorStream property on ProcessBuilder to send stderr output to stdout:--CODE--You should then create a thread to deal with the process stream, something like the following:--CODE--Where InputHandler is defined as:--CODE--Alternatively, just create two InputHandlers for the InputStream and ErrorStream. Knowing that the program will block if you don't read them is 90% of the battle :)","[""ProcessBuilder builder = new ProcessBuilder(command);builder.redirectErrorStream(true);"", ""Process p = builder.start();InputHandler outHandler = new InputHandler(p.getInputStream());"", ""private static class InputHandler extends Thread {    private final InputStream is;    private final ByteArrayOutputStream os;    public InputHandler(InputStream input) {        this.is = input;        this.os = new ByteArrayOutputStream();    }    public void run() {        try {            int c;            while ((c = is.read()) != -1) {                os.write(c);            }        } catch (Throwable t) {            throw new IllegalStateException(t);        }    }    public String getOutput() {        try {        os.flush();        } catch (Throwable t) {            throw new IllegalStateException(t);        }        return os.toString();    }}""]",Concurrency,"{""Tasks and Thread Pools"": 0.75}"
65128,65618,track down file handle,"I have a huge ear that uses log4j and there is a single config file that is used to set it up. In this config file there is no mention of certain log files but, additional files apart from those specified in the config file get generated in the logs folder. I've searched for other combinations of (logger|log4j|log).(properties|xml) and haven't found anything promising in all of the jar files included in the ear. How do I track down which is the offending thread/class that is creating these extra files?",[],<java><logging><file><jakarta-ee><websphere>,65618,"Try placing a breakpoint in the File class' constructors and the mkdir and createNewFile methods.  Generally, code will use the File class to create its files or directories.  You should have the Java source code for these classes included with your JVM.",[],Fundamental Programming Structures in Java,"{""Input and Output"": 0.8}"
66455,86170,Is there an easy way to change the behavior of a Java/Swing control when it gets focus?,"For most GUI's I've used, when a control that contains text gets the focus, the entire contents of the control are selected.  This means if you just start typing, you completely replace the former contents.Example:  You have spin control that is initialized with the value zero.   You tab to it and type ""1"" The value in the control is now 1.With Swing, this doesn't happen.  The text in the control is not selected and the carat appears at one end or another of the existing text.  Continuing the above example:With a Swing JSpinner, when you tab to the spin control, the carat is at the left.  You type ""1"" and the value in the control is now 10.This drives me, (and my users) up a wall, and I'd like to change it.  Even more important, I'd like to change it globally so the new behavior applies to JTextField, JPasswordField, JFormattedTextField, JTextArea, JComboBox, JSpinner, and so on.   The only way I have found to do this to add a FocusAdapter to each control and override the focusGained() method to Do The Right Thing[tm].There's gotta be an easier, and less fragile way.  Please?EDIT: One additional piece of information for this particular case.  The form I am working with was generated using Idea's form designer.  That means I normally don't actually write the code to create the components.  It is possible to tell Idea that you want to create them yourself, but that's a hassle I'd like to avoid.Motto:  All good programmers are basically lazy.",[],<java><user-interface><swing>,86170,After reading the replies so far (Thanks!) I passed the outermost JPanel to the following method: --CODE--It works!,"[""void addTextFocusSelect(JComponent component){    if(component instanceof JTextComponent){        component.addFocusListener(new FocusAdapter() {                @Override                public void focusGained(FocusEvent event) {                    super.focusGained(event);                    JTextComponent component = (JTextComponent)event.getComponent();                    // a trick I found on JavaRanch.com                    // Without this, some components don't honor selectAll                    component.setText(component.getText());                    component.selectAll();                }            });    }    else    {        for(Component child: component.getComponents()){            if(child instanceof JComponent){                addTextFocusSelect((JComponent) child);            }        }    }}""]",Graphical User Interface Programming,"{""Event Handling"": 1.65}"
73000,93914,Modal dialogs in IE gets hidden behind IE if user clicks on IE pane,"I have to write an applet that brings up a password dialog. The problem is that dialog is set to be always on top but when user clicks on IE window dialog gets hidden behind IE window nevertheless. And since dialog is modal and holds all IE threads IE pane does not refresh and dialog window is still painted on top of IE (but not refreshed). This behaviour confuses users (they see dialog on top of IE but it looks like it has hanged since it is not refreshe). So I need a way to keep that dialog on top of everything. But any other solution to this problem would be nice. Here's the code:--CODE--Resolution: As @shemnon noted I should make a window instead of (null, Frame, Applet) parent of modal dialog. So good way to initlialize parent was: --CODE--","[""        PassDialog dialog = new PassDialog(parent);        /* do some non gui related initialization */        dialog.pack();        dialog.setLocationRelativeTo(null);        dialog.setAlwaysOnTop(true);        dialog.setVisible(true);"", ""parent = javax.swing.SwingUtilities.getWindowAncestor(theApplet);""]",<java><internet-explorer><swing><applet><modal-dialog>,93914,What argument are you using for the parent?You may have better luck if you use the parent of the Applet.--CODE--Using the getWindowAncestor will skip the applet parents (getRoot(component) will return applets).  In at least some versions of Java there was a Frame that was equivalent to the IE window.  YMMV.,"[""javax.swing.SwingUtilities.getWindowAncestor(theApplet)""]",User Interface Components with Swing,"{""Dialog Boxes"": 1.45}"
81786,81803,Can I add new methods to the String class in Java?,"I'd like to add a method AddDefaultNamespace() to the String class in Java so that I can type ""myString"".AddDefaultNamespace() instead of DEFAULTNAMESPACE + ""myString"", to obtain something like ""MyDefaultNameSpace.myString"". I don't want to add another derived class either (PrefixedString for example).Maybe the approach is not good for you but I personally hate using +. But, anyway, is it possible to add new methods to the String class in Java?Thanks and regards.",[],<java><string>,81803,String is a final class which means it cannot be extended to work on your own implementation.,[],Fundamental Programming Structures in Java,"{""Strings"": 1.9}"
584234,584261,Problem with threads,"*I'm using Java.I have this thread, agent, that explores a room to determine its size and clean it if it's dirty. Then I have the interface, which draws the agent as it explores the environment. Agent is subclassed from Thread, and Java takes care of managing the threads. All I do is create the thread and say object.start().This works very well under normal circustances. However, the menus are enabled during this time, and that means the user can mess with the room while the agent is exploring it. That shouldn't happen.So, once the user clicks the option that tells the agent to clean the room, I'd like to disable all the menus. Except this isn't working as it should. Here's the problem:--CODE--The problem is that the menus are enabled before the agent thread executes its function. I thought about using Thread.join() - that would garantee that the code to enable the menus is only executed after the agent thread ends. But, if I use Thread.join() the interface doesn't update itself while the agent is moving, because it's waiting for the agent to finish!I've thought about disabling the interface from the agent and then enabling it once the agent is done, but I'm not sure that would work and the biggest problem here is that the agent shouldn't be messing around with the menus.So, to sum it up, I need a thread executing to update the interface/draw the agent moving, but that thread cannot be the same that enables the menu. It seems currently there is one thread doing both. Assuming that's possible and not too complicated.","[""...public void ActionPerformed(ActionEvent e){    //disable the menus with setEnabled(false);    agent.start();    //enable the menus with setEnabled(true);}""]",<java><multithreading><user-interface>,584261,"  I've thought about disabling the  interface from the agent and then  enabling it once the agent is done,  but I'm not sure that would work and  the biggest problem here is that the  agent shouldn't be messing around with  the menus.You could make the agent call a method in the GUI class that re-enables the menus, when it is done. The method would, of course, call the appropriate Swing methods on the EDT.--CODE--If multiple agents can run concurrently, you'll need to check if all of them are done, before re-enabling the menu.","[""class Agent extends Thread{    @override    public void run()    {       // run around the room       // finally done       gui.agentIsDone();    }}class GUI extends JFrame{    ...    void agentIsDone()    {        SwingUtilities.invokeLater(new Runnable()        {            @override             public void run()            {                menus.setEnabled(true);            }        });    } }""]",Concurrency,"{""Thread Properties"": 0.75, ""Synchronization"": 0.55, ""Asynchronous Computations"": 0.7}"
84285,,calling thread.start() within its own constructor,is it legal for a thread to call this.start() inside its own constructor? and if so what potential issues can this cause? I understand that the object wont have fully initialized until the constructor has run to completion but aside from this are there any other issues?  ,[],<java><multithreading>,84937,"For memory-safety reasons, you shouldn't expose a reference to an object or that object's fields to another thread from within its constructor.  Assuming that your custom thread has instance variables, by starting it from within the constructor, you are guaranteed to violate the Java Memory Model guidelines.  See [Brian Goetz's Safe Construction Techniques](""http://www.ibm.com/developerworks/java/library/j-jtp0618.html"") for more info.",[],Concurrency,"{""Thread Properties"": 0.85, ""Tasks and Thread Pools"": 0.65, ""What Are Threads?"": 0.6, ""Thread States"": 0.55}"
